#Time	 Transmitted Flux
813	1.06057e-05
814	1.03708e-05
815	1.0129e-05
816	9.8808e-06
817	9.62671e-06
818	9.3672e-06
819	9.1028e-06
820	8.83402e-06
821	8.56137e-06
822	8.28538e-06
823	8.00657e-06
824	7.72549e-06
825	7.44267e-06
826	7.15863e-06
827	6.87392e-06
828	6.58906e-06
829	6.3046e-06
830	6.02105e-06
831	5.73894e-06
832	5.45879e-06
833	5.18111e-06
834	4.9064e-06
835	4.63517e-06
836	4.36791e-06
837	4.10507e-06
838	3.84715e-06
839	3.59458e-06
840	3.34782e-06
841	3.10729e-06
842	2.8734e-06
843	2.64655e-06
844	2.42714e-06
845	2.21552e-06
846	2.01204e-06
847	1.81703e-06
848	1.63082e-06
849	1.45369e-06
850	1.28592e-06
851	1.12777e-06
852	9.79467e-07
853	8.41229e-07
854	7.13251e-07
855	5.95705e-07
856	4.88742e-07
857	3.92492e-07
858	3.07064e-07
859	2.32544e-07
860	1.68996e-07
861	1.16463e-07
862	7.4965e-08
863	4.45019e-08
864	2.50509e-08
865	1.65678e-08
866	1.89875e-08
867	3.22237e-08
868	5.61692e-08
869	9.06968e-08
870	1.35659e-07
871	1.90888e-07
872	2.56199e-07
873	3.31385e-07
874	4.16224e-07
875	5.10474e-07
876	6.13876e-07
877	7.26157e-07
878	8.47024e-07
879	9.76172e-07
880	1.11328e-06
881	1.25801e-06
882	1.41002e-06
883	1.56894e-06
884	1.7344e-06
885	1.90602e-06
886	2.08341e-06
887	2.26616e-06
888	2.45385e-06
889	2.64608e-06
890	2.84241e-06
891	3.04241e-06
892	3.24565e-06
893	3.45167e-06
894	3.66005e-06
895	3.87032e-06
896	4.08204e-06
897	4.29477e-06
898	4.50805e-06
899	4.72143e-06
900	4.93448e-06
901	5.14674e-06
902	5.35778e-06
903	5.56717e-06
904	5.77447e-06
905	5.97927e-06
906	6.18115e-06
907	6.3797e-06
908	6.57453e-06
909	6.76524e-06
910	6.95147e-06
911	7.13284e-06
912	7.30899e-06
913	7.47959e-06
914	7.64431e-06
915	7.80282e-06
916	7.95483e-06
917	8.10005e-06
918	8.2382e-06
919	8.36902e-06
920	8.49229e-06
921	8.60776e-06
922	8.71523e-06
923	8.81452e-06
924	8.90544e-06
925	8.98783e-06
926	9.06157e-06
927	9.12652e-06
928	9.18259e-06
929	9.22969e-06
930	9.26775e-06
931	9.29672e-06
932	9.31657e-06
