#Time	 Transmitted Flux
936	2.39348e-05
937	2.3819e-05
938	2.36936e-05
939	2.35587e-05
940	2.34145e-05
941	2.32613e-05
942	2.30992e-05
943	2.29284e-05
944	2.27491e-05
945	2.25617e-05
946	2.23664e-05
947	2.21634e-05
948	2.19531e-05
949	2.17357e-05
950	2.15115e-05
951	2.1281e-05
952	2.10443e-05
953	2.08019e-05
954	2.05541e-05
955	2.03013e-05
956	2.00438e-05
957	1.97819e-05
958	1.95162e-05
959	1.92468e-05
960	1.89743e-05
961	1.86991e-05
962	1.84214e-05
963	1.81417e-05
964	1.78604e-05
965	1.75778e-05
966	1.72945e-05
967	1.70106e-05
968	1.67267e-05
969	1.64432e-05
970	1.61603e-05
971	1.58784e-05
972	1.5598e-05
973	1.53194e-05
974	1.50429e-05
975	1.4769e-05
976	1.44978e-05
977	1.42298e-05
978	1.39653e-05
979	1.37046e-05
980	1.3448e-05
981	1.31957e-05
982	1.29481e-05
983	1.27055e-05
984	1.2468e-05
985	1.2236e-05
986	1.20096e-05
987	1.1789e-05
988	1.15746e-05
989	1.13664e-05
990	1.11646e-05
991	1.09694e-05
992	1.0781e-05
993	1.05995e-05
994	1.04249e-05
995	1.02574e-05
996	1.00971e-05
997	9.94403e-06
998	9.79827e-06
999	9.65986e-06
1000	9.52881e-06
1001	9.40514e-06
1002	9.28885e-06
1003	9.17992e-06
1004	9.07832e-06
1005	8.98399e-06
1006	8.89688e-06
1007	8.81691e-06
1008	8.74399e-06
1009	8.67803e-06
1010	8.6189e-06
1011	8.56648e-06
1012	8.52062e-06
1013	8.48119e-06
1014	8.44801e-06
1015	8.42091e-06
1016	8.3997e-06
1017	8.3842e-06
1018	8.37419e-06
1019	8.36947e-06
1020	8.36982e-06
1021	8.375e-06
1022	8.38477e-06
1023	8.3989e-06
1024	8.41714e-06
1025	8.43923e-06
1026	8.46491e-06
1027	8.49392e-06
1028	8.52598e-06
1029	8.56084e-06
1030	8.59821e-06
1031	8.63782e-06
1032	8.67939e-06
1033	8.72265e-06
1034	8.76732e-06
1035	8.81312e-06
1036	8.85978e-06
1037	8.90702e-06
1038	8.95457e-06
1039	9.00217e-06
1040	9.04954e-06
1041	9.09643e-06
1042	9.14258e-06
1043	9.18773e-06
1044	9.23165e-06
1045	9.2741e-06
1046	9.31483e-06
1047	9.35362e-06
1048	9.39026e-06
1049	9.42454e-06
1050	9.45625e-06
1051	9.48519e-06
1052	9.51119e-06
1053	9.53407e-06
1054	9.55366e-06
1055	9.56981e-06
1056	9.58238e-06
1057	9.59123e-06
1058	9.59623e-06
1059	9.59728e-06
1060	9.59428e-06
1061	9.58714e-06
1062	9.57578e-06
1063	9.56013e-06
1064	9.54015e-06
1065	9.51579e-06
1066	9.48702e-06
1067	9.45382e-06
1068	9.4162e-06
1069	9.37415e-06
1070	9.3277e-06
1071	9.27688e-06
1072	9.22173e-06
1073	9.1623e-06
1074	9.09866e-06
1075	9.03089e-06
1076	8.95908e-06
1077	8.88331e-06
1078	8.80371e-06
1079	8.72039e-06
1080	8.63349e-06
1081	8.54313e-06
1082	8.44947e-06
1083	8.35267e-06
1084	8.25289e-06
1085	8.1503e-06
1086	8.04509e-06
1087	7.93745e-06
1088	7.82756e-06
1089	7.71564e-06
1090	7.6019e-06
1091	7.48653e-06
1092	7.36977e-06
1093	7.25183e-06
1094	7.13294e-06
1095	7.01333e-06
1096	6.89324e-06
1097	6.7729e-06
1098	6.65255e-06
1099	6.53242e-06
1100	6.41276e-06
1101	6.2938e-06
1102	6.17579e-06
1103	6.05896e-06
1104	5.94356e-06
1105	5.82981e-06
1106	5.71796e-06
1107	5.60823e-06
1108	5.50085e-06
1109	5.39605e-06
1110	5.29404e-06
1111	5.19505e-06
1112	5.09928e-06
1113	5.00694e-06
1114	4.91822e-06
1115	4.83332e-06
1116	4.75242e-06
1117	4.67571e-06
1118	4.60335e-06
1119	4.5355e-06
1120	4.47233e-06
1121	4.41397e-06
1122	4.36057e-06
1123	4.31225e-06
1124	4.26912e-06
1125	4.23131e-06
1126	4.1989e-06
1127	4.17198e-06
1128	4.15064e-06
1129	4.13494e-06
1130	4.12493e-06
1131	4.12067e-06
1132	4.12218e-06
1133	4.12949e-06
1134	4.14262e-06
1135	4.16157e-06
1136	4.18633e-06
1137	4.21687e-06
1138	4.25317e-06
1139	4.29519e-06
1140	4.34287e-06
1141	4.39615e-06
1142	4.45496e-06
1143	4.51921e-06
1144	4.58881e-06
1145	4.66365e-06
1146	4.74363e-06
1147	4.82861e-06
1148	4.91847e-06
1149	5.01306e-06
1150	5.11223e-06
1151	5.21582e-06
1152	5.32367e-06
1153	5.4356e-06
1154	5.55143e-06
1155	5.67097e-06
1156	5.79403e-06
1157	5.92039e-06
1158	6.04986e-06
1159	6.18222e-06
1160	6.31725e-06
1161	6.45473e-06
1162	6.59442e-06
1163	6.73611e-06
1164	6.87954e-06
1165	7.0245e-06
1166	7.17073e-06
1167	7.31799e-06
1168	7.46605e-06
1169	7.61466e-06
1170	7.76356e-06
1171	7.91253e-06
1172	8.06131e-06
1173	8.20966e-06
1174	8.35733e-06
1175	8.5041e-06
1176	8.64972e-06
1177	8.79395e-06
1178	8.93657e-06
1179	9.07735e-06
1180	9.21606e-06
1181	9.35249e-06
1182	9.48642e-06
1183	9.61764e-06
1184	9.74595e-06
1185	9.87115e-06
1186	9.99305e-06
1187	1.01115e-05
1188	1.02262e-05
1189	1.03372e-05
1190	1.04441e-05
1191	1.05469e-05
1192	1.06455e-05
1193	1.07396e-05
1194	1.08291e-05
1195	1.0914e-05
1196	1.09941e-05
1197	1.10694e-05
1198	1.11396e-05
1199	1.12049e-05
1200	1.1265e-05
1201	1.13199e-05
1202	1.13696e-05
1203	1.1414e-05
1204	1.14532e-05
1205	1.1487e-05
1206	1.15155e-05
1207	1.15386e-05
1208	1.15564e-05
1209	1.15689e-05
1210	1.15762e-05
1211	1.15781e-05
1212	1.15749e-05
1213	1.15666e-05
1214	1.15531e-05
1215	1.15347e-05
1216	1.15114e-05
1217	1.14832e-05
1218	1.14503e-05
1219	1.14128e-05
1220	1.13708e-05
1221	1.13244e-05
1222	1.12738e-05
1223	1.12191e-05
1224	1.11604e-05
1225	1.10979e-05
1226	1.10318e-05
1227	1.09622e-05
1228	1.08893e-05
1229	1.08132e-05
1230	1.07342e-05
1231	1.06524e-05
1232	1.0568e-05
1233	1.04812e-05
1234	1.03923e-05
1235	1.03013e-05
1236	1.02085e-05
1237	1.01142e-05
1238	1.00184e-05
1239	9.92141e-06
1240	9.82346e-06
1241	9.72473e-06
1242	9.62542e-06
1243	9.52574e-06
1244	9.4259e-06
1245	9.32609e-06
1246	9.22651e-06
1247	9.12738e-06
1248	9.02888e-06
1249	8.9312e-06
1250	8.83454e-06
1251	8.73909e-06
1252	8.64502e-06
1253	8.55252e-06
